"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.584261333E0,6.740414388E-3,2.554648519E-3,1.928411722E-2
1.594293333E0,2.055146467E-2,-2.103068054E-2,3.103702068E-2
1.604326333E0,3.808485243E-2,-1.941451013E-2,1.944900870E-2
1.614359333E0,4.332348257E-2,-1.989690542E-2,1.541150630E-2
1.624391333E0,3.397597745E-2,-1.829476833E-2,3.179715872E-3
1.634424333E0,2.450275719E-2,-4.267414927E-2,-6.319085956E-3
1.644457333E0,1.608262047E-2,-2.549970746E-2,-4.379564524E-3
1.654489333E0,-2.186167952E-2,5.907441974E-3,-2.308422267E-2
1.664522333E0,-3.264818441E-2,2.039859653E-2,-1.057235062E-2
1.674555333E0,-1.127595339E-2,1.085827947E-2,-5.090001225E-3
1.684587333E0,-2.865077198E-2,1.330124617E-2,-1.173185349E-2
1.694620333E0,-6.598327048E-3,2.958983481E-2,-3.136446476E-2
1.704653333E0,-8.005386405E-3,5.202384710E-2,-2.268018007E-2
1.714685333E0,-2.825966634E-2,3.615918159E-2,-4.247417450E-2
1.724718333E0,-4.955504302E-2,2.315438926E-2,-6.762538791E-2
1.734751333E0,1.907127857E-2,5.354529262E-2,-2.935185313E-2
1.744783333E0,3.641613018E-2,5.523162961E-2,5.009894371E-3
1.754816333E0,-9.986569248E-3,3.485700667E-2,-1.063900888E-2
1.764848333E0,1.165664367E-2,6.085197330E-3,2.791226864E-2
1.774881333E0,1.728023987E-2,6.031987667E-3,5.237526476E-2
1.784914333E0,-1.910935856E-2,-1.469990015E-2,3.843491793E-2
1.794946333E0,-4.588193178E-2,-2.025592446E-2,-4.379564524E-4
1.804979333E0,-9.285049550E-2,-3.160653949E-2,-2.116341233E-2
1.815012333E0,-1.071690110E-1,-4.403362691E-2,-4.192979872E-2
1.825044333E0,-5.015233610E-2,-4.730163574E-2,-3.162291169E-2
1.835077333E0,-5.035296869E-2,-3.759116471E-2,-2.985588312E-3
1.845110333E0,3.538102683E-2,-1.030454814E-2,3.570602238E-2
1.855142333E0,8.936263137E-2,-1.310594916E-2,6.646413088E-2
1.865175333E0,7.246198542E-2,-1.728904724E-2,5.460188448E-2
1.875208333E0,7.901561782E-2,-2.634755373E-3,4.099015117E-2
1.885240333E0,5.093447428E-2,9.446761608E-3,1.391344965E-2
1.895273333E0,-2.206523571E-2,4.230460525E-3,-2.757546902E-2
1.905305333E0,-1.237164851E-1,3.079026818E-2,-3.545926988E-2
1.915338333E0,-1.210696699E-1,3.656439364E-2,-1.042207718E-2
1.925371333E0,-4.437232688E-3,3.358289838E-2,-2.634813845E-2
1.935403333E0,-3.570017517E-2,-6.235470772E-3,-7.938764691E-3
1.945436333E0,-1.888913780E-2,-3.708128750E-2,-3.012543976E-2
1.955469333E0,-6.275889650E-4,-5.427034736E-2,7.263411283E-3
1.965501333E0,-2.440737449E-3,-5.233725786E-2,4.482533991E-2
